Banco de México,,,,
,,,,
Tasas y precios de referencia,,,,
Valores Públicos,,,,
,,,,
Fecha de consulta: 19/05/2020 01:31:49,,,,
,,,,
,,,,
,,,,
Título,TIIE a 1 dia ,"TIIE a 28 días, Tasa de interés promedio mensual, en por ciento anual","Fondeo promedio ponderado bancario, Tasa de interés promedio mensual, en por ciento anual","Cetes 28 días, Tasa de rendimiento promedio mensual, en por ciento anual"
Periodo disponible,Ene 2006 - Abr 2020,Mar 1995 - Abr 2020,Nov 1998 - Abr 2020,Ene 1978 - Abr 2020
Periodicidad,Mensual,Mensual,Mensual,Mensual
Cifra,Porcentajes,Porcentajes,Porcentajes,Porcentajes
Unidad,Porcentajes,Porcentajes,Porcentajes,Porcentajes
Base,,,,
Aviso,,,,
Tipo de información,Niveles,Niveles,Niveles,Niveles
Fecha,SF331450,SF283,SF17863,SF282
01/09/2011,4.37,4.78,4.38,4.23
01/10/2011,4.37,4.79,4.38,4.36
01/11/2011,4.41,4.8,4.4,4.35
01/12/2011,4.5,4.8,4.48,4.34
01/01/2012,4.48,4.79,4.47,4.27
01/02/2012,4.5,4.78,4.49,4.32
01/03/2012,4.5,4.77,4.49,4.24
01/04/2012,4.48,4.74,4.48,4.29
01/05/2012,4.51,4.76,4.5,4.39
01/06/2012,4.49,4.76,4.49,4.34
01/07/2012,4.48,4.78,4.47,4.15
01/08/2012,4.49,4.79,4.48,4.13
01/09/2012,4.5,4.8,4.49,4.17
01/10/2012,4.5,4.82,4.5,4.21
01/11/2012,4.5,4.84,4.5,4.29
01/12/2012,4.51,4.84,4.51,4.05
01/01/2013,4.49,4.84,4.5,4.15
01/02/2013,4.49,4.82,4.5,4.19
01/03/2013,4.15,4.48,4.15,3.98
01/04/2013,4.02,4.33,4.02,3.82
01/05/2013,4.02,4.32,4.02,3.72
01/06/2013,4.02,4.3,4.01,3.78
01/07/2013,4.01,4.32,4.01,3.85
01/08/2013,4.01,4.31,4,3.84
01/09/2013,3.82,4.1,3.81,3.64
01/10/2013,3.72,3.98,3.7,3.39
01/11/2013,3.57,3.79,3.53,3.39
01/12/2013,3.62,3.79,3.56,3.29
01/01/2014,3.5,3.78,3.49,3.14
01/02/2014,3.52,3.79,3.49,3.16
01/03/2014,3.51,3.8,3.49,3.17
01/04/2014,3.53,3.81,3.5,3.23
01/05/2014,3.53,3.8,3.5,3.28
